Species_ID,Family,Scientific_Name,Common_Name,Species_Code,Source,TE_Status,Habitat,BNA_Account,TSN
20200813140240-705416619.777679,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Loxops coccineus,Hawaii Akepa,HAAK,"American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].;  Gill, F and D Donsker (Eds). 2016. IOC World Bird List (v 6.3)",E,Forest Bird,294,202320
20200813140240-577929019.927979,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Loxops mana,Hawaii Creeper,HCRE,"American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].;  Gill, F and D Donsker (Eds). 2016. IOC World Bird List (v 6.3)",E,Forest Bird,680,179585
20200813140240-644131422.042847,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Loxops ochraceus,Maui Akepa,MAAK,"American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].;  Gill, F and D Donsker (Eds). 2016. IOC World Bird List (v 6.3)",E,Forest Bird,294,202321
20200813140240-358102619.64798,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Loxops wolstenholmei,Oahu Akepa,OAKP,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,294,
20200813140240-695740044.116974,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Magumma parva,Anianiau,ANIA,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,312,179571
20200813140240-60996949.672699,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Oreomystis bairdi,Akikiki,AKIK,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,552,179584
20200813140240-243263900.279999,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Paroreomyza flammea,Kakawahie,KAKA,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,503,179590
20200813140240-481562137.60376,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Paroreomyza maculata,Oahu Alauahio,OAAL,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,503,179589
20200813140240-622303307.056427,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Paroreomyza montana montana,Lanai Alauahio,LAAL,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,N/A,
20200813140240-480916917.324066,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Paroreomyza montana newtoni,Maui Alauahio,MAAL,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,504,
20200813140240-275678575.03891,Fringillidae (Drepanidinae subfamily Hemignathini tribe),Viridonia sagittirostris,Greater Amakihi,GRAM,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,360,179573
20200813140240-634997546.672821,Fringillidae (Drepanidinae subfamily Psittirostrini tribe),Chloridops kona,Kona Grosbeak,KOGR,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,424,179561
20200813140240-272546350.955963,Fringillidae (Drepanidinae subfamily Psittirostrini tribe),Dysmorodrepanis munroi,Lanai Hookbill,LAHB,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,335-336,554224
20200813140240-494327068.328857,Fringillidae (Drepanidinae subfamily Psittirostrini tribe),Loxioides bailleui,Palila,PALI,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,679,179578
20200813140240-885499238.967896,Fringillidae (Drepanidinae subfamily Psittirostrini tribe),Pseudonestor xanthophrys,Maui Parrotbill,MAPA,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,E,Forest Bird,311,179593
20200813140240-135780632.49588,Fringillidae (Drepanidinae subfamily Psittirostrini tribe),Psittirostra psittacea,Ou,OUXX,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,E,Forest Bird,335-336,554393
20200813140240-979723632.335663,Fringillidae (Drepanidinae subfamily Psittirostrini tribe),Rhodacanthis flaviceps,Lesser Koa-Finch,LKOF,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,424,179597
20200813140240-882307589.054108,Fringillidae (Drepanidinae subfamily Psittirostrini tribe),Rhodacanthis palmeri,Greater Koa-Finch,GKOF,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,424,179598
20200813140240-786619603.633881,Fringillidae (Drepanidinae subfamily Psittirostrini tribe),Telespiza cantans,Laysan Finch,LAFI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,639,554449
20200813140240-427134871.482849,Fringillidae (Drepanidinae subfamily Psittirostrini tribe),Telespiza ultima,Nihoa Finch,NIFI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,639,554450
20200813140240-664163231.84967,Gruidae,Antigone canadensis,Sandhill Crane,SACR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,31,176177
20200813140240-120732784.27124,Hirundinidae,Hirundo rustica,Barn Swallow,BARS,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,452,178448
20200813140240-433447718.6203,Hydrobatidae,Hydrobates castro,Band-rumped Storm Petrel,BSTP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",E,Marine Bird,673,174636
20200813140240-854835569.858551,Hydrobatidae,Hydrobates furcata,Fork-tailed Storm Petrel,FTSP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,569,174625
20200813140240-149859845.638275,Hydrobatidae,Hydrobates leucorhoa,Leach's Storm Petrel,LHSP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,233,174628
20200813140240-632272064.685822,Hydrobatidae,Hydrobates tristrami,Tristram's Storm Petrel,TRSP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,673,174641
20200813140240-572213411.331177,Hydrobatidae,Oceanites oceanicus,Wilson's Storm Petrel,WISP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174650
20200813140240-483562052.249908,Icteridae,Quiscalus mexicanus,Great-tailed Grackle,GTGR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,576,179109
20200813140240-690061509.609222,Icteridae,Sturnella neglecta,Western Meadowlark,WEME,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,104,179039
20200813140240-958833694.458008,Laridae,Anous cerulea,Blue Noddy,BLUN,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,554390
20200813140240-352186679.840088,Laridae,Anous minutus,Black Noddy,BLNO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,412,176944
20200813140240-409051597.118378,Laridae,Anous stolidus,Brown Noddy,BRNO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,220,176941
20200813140240-376813054.084778,Laridae,Chlidonias hybrida,Whiskered Tern,WHST,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,554218
20200813140240-145486950.874329,Laridae,Chlidonias niger,Black Tern,BLTE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,147,176959
20200813140240-879925608.634949,Laridae,Chroicocephalus philadelphia,Bonaparte's Gull,BOGU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,634,176839
20200813140240-889593303.203583,Laridae,Chroicocephalus ridibundus,Black-headed Gull,BHGU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,176835
20200813140240-394084393.978119,Laridae,Gelochelidon nilotica,Gull-billed Tern,GBTE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,140,176926
20200813140240-659886538.982391,Laridae,Gygis alba rothschildi,White Tern,WHTT,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,371,
20200813140240-825443744.659424,Laridae,Hydroprogne caspia,Caspian Tern,CATE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,403,176924
20200813140240-999541819.095612,Laridae,Larus argentatus,European Herring Gull,HERG,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,124,176824
20200813140240-198154687.88147,Laridae,Larus californicus,California Gull,CAGU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,259,176829
20200813140240-358874201.774597,Laridae,Larus canus,Common Gull,COGU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,687,176832
20200813140240-264821887.016296,Laridae,Larus delawarensis,Ring-billed Gull,RBGU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,33,176830
20200813140240-785481274.12796,Laridae,Larus glaucescens,Glaucous-winged Gull,GWGU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,59,176814
20200813140240-597259998.321533,Laridae,Larus hyperboreus,Glaucous Gull,GLGU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,573,176808
20200813140240-431187391.281128,Laridae,Larus occidentalis,Western Gull,WEGU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,174,176817
20200813140240-567133069.038391,Laridae,Larus schistisagus,Slaty-backed Gull,SBAG,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,176816
20200813140240-171311259.269714,Laridae,Leucophaeus atricilla,Laughing Gull,LAGU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,225,176837
20200813140240-58106780.0521851,Laridae,Leucophaeus pipixcan,Franklin's Gull,FRGU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,116,176838
20200813140240-777162134.647369,Laridae,Onychoprion fuscatus,Sooty Tern,SOTE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,665,
20200813140240-336458563.804626,Laridae,Onychoprion lunatus,Spectacled Tern,SPTE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,525,176912
20200813140240-678565859.794617,Laridae,Rissa tridactyla,Black-legged Kittiwake,BLKI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,92,176875
20200813140240-350055813.789368,Laridae,Stercorarius longicaudus,Long-tailed Jaeger,LTJA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,365,176794
20200813140240-121775448.322296,Laridae,Stercorarius maccormicki,South Polar Skua,SPSK,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,176801
20200813140240-616017222.40448,Laridae,Stercorarius parasiticus,Parasitic Jaeger,PAJA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,445,176793
20200813140240-532806396.484375,Laridae,Stercorarius pomarinus,Pomarine Jaeger,POJA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,483,176792
20200813140240-746043384.075165,Laridae,Sterna hirundo,Common Tern,COTE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,618,176888
20200813140240-682964742.183685,Laridae,Sterna paradisaea,Arctic Tern,ARTE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,707,176890
20200813140240-246010303.497314,Laridae,Sternula albifrons,Little Tern,LITE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,176899
20200813140240-21821320.0569153,Laridae,Sternula antillarum,Least Tern,LETE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,290,176923
20200813140240-658487200.737,Laridae,Thalasseus bergii,Greater Crested Tern,GCTE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,176908
20200813140240-191654741.764069,Laridae,Thalasseus sandvicensis,Sandwich Tern,SATE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,405,176927
20200813140240-981524467.468262,Meliphagidae,Chaetoptila angustipluma,Kioea,KIOE,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,535,178810
20200813140240-252339661.121368,Meliphagidae,Foulehaio carunculatus,Polynesian Wattled Honeyeater,POWH,"Gill, F and D Donsker (Eds). 2016. IOC World Bird List (v 6.3)",,Forest Bird,N/A,
20200813140240-477552711.963654,Meliphagidae,Gymnomyza samoensis,Mao,MAO,,E,Forest Bird,N/A,178816
20200813140240-329711854.457855,Meliphagidae,Moho apicalis,Oahu Oo,OAOO,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,535,178818
20200813140240-975427269.935608,Meliphagidae,Moho bishopi,Bishop's Oo,BIOO,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,535,178819
20200813140240-296122312.545776,Meliphagidae,Moho braccatus,Kauai Oo,KAOO,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,535,178820
20200813140240-596820175.647736,Meliphagidae,Moho nobilis,Hawaii Oo,HAOO,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,535,178821
20200813140240-849608838.558197,Meliphagidae,Myzomela nigriventris,Samoan Myzomela,SAMY,,,Forest Bird,N/A,
20200813140240-100641489.028931,Mimidae,Mimus polyglottos,Northern Mockingbird,NOMO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,7,178620
20200813140240-802053570.747375,Monarchidae,Chasiempis ibidis,Oahu Elepaio,OAEL,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,344,
20200813140240-849981307.983398,Monarchidae,Chasiempis sandwichensis ,Hawaii Elepaio,HAEL,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,344,
20200813140240-871054172.515869,Monarchidae,Chasiempis sclateri,Kauai Elepaio,KAEL,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Forest Bird,344,
20200813140240-168473660.945892,Monarchidae,Clytorhynchus vitiensis powelli,Manu'a Shrikebill,MASH,"Pratt, H. D. 2010. Revisiting species and subspecies of island birds for a better assessment of biodiversity. Ornithological Monographs 67:79-89",,Forest Bird,,
20200813140240-819931805.13382,Motacillidae,Anthus cervinus,Red-throated Pipit,RTPI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Shorebird,N/A,178498
20200813140240-410686850.547791,Motacillidae,Anthus hodgsoni,Olive-backed Pipit,OBPI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Shorebird,N/A,178495
20200813140240-838469684.123993,Motacillidae,Anthus rubescens,Buff-bellied Pipit,BBPI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Migratory Shorebird,95,554127
20201008100228-301948010.921478,None,None,None,NONE,,,,,
20200813140240-864840090.274811,Odontophoridae,Callipepla californica,California Quail,CAQU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,473,175876
20200813140240-42598366.7373657,Odontophoridae,Callipepla gambelii,Gambel's Quail,GAQU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,321,175877
20200813140240-670191466.808319,Paridae,Sittiparus varius,Varied Tit,VATI,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,
20200813140240-221696615.219116,Passeridae,Passer domesticus,House Sparrow,HOSP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,12,179628
20200813140240-863531768.321991,Phaethontidae,Phaethon aethereus,Red-billed Tropicbird,RBTR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174673
20200813140240-269712209.701538,Phaethontidae,Phaethon lepturus,White-tailed Tropicbird,WTTR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,353,174676
20200813140240-524865865.707397,Phaethontidae,Phaethon rubricauda rothschildi,Red-tailed Tropicbird,RTTR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,43,174680
20200813140240-770453572.273254,Phalacrocoracidae,Urile pelagicus,Pelagic Cormorant,PECO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,282,174725
20200813140240-625115156.173706,Phasianidae,Alectoris chukar,Chukar,CHUK,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,258,175908
20200813140240-704963505.268097,Phasianidae,Chrysolophus pictus,Golden Pheasant,GOPH,"Evolution, Ecology",,Open Country Bird,,
20200813140240-129621684.551239,Phasianidae,Coturnix japonica,Japanese Quail,JAQU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,N/A,176013
20200813140240-842469632.62558,Phasianidae,Francolinus francolinus,Black Francolin,BLFR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,394-396,175974
20200813140240-187470495.700836,Phasianidae,Gallus gallus,Red Junglefowl,REJU,American Ornithologists' Union. 1983. Check-list of North American Birds. 7th edition [1998].,,Widespread/Urban Bird,N/A?,176086
20200813140240-757366120.815277,Phasianidae,Lophura leucomelanos,Kalij Pheasant,KAPH,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Forest Bird,N/A,553882
20200813140240-404190480.709076,Phasianidae,Meleagris gallopavo,Wild Turkey,WITU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,22,176136
20200813140240-189106702.804565,Phasianidae,Ortygornis pondicerianus,Grey Francolin,GRAF,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,394-396,175992
20200813140240-361605405.807495,Phasianidae,Pavo cristatus,Indian Peafowl,INPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,377,176113
20200813140240-414226233.959198,Phasianidae,Phasianus colchicus,Ring-necked Pheasant,RNEP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,572,175905
20200813140240-218846976.75705,Phasianidae,Pternistis erckelii,Erckel's Spurfowl,ERSP,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,394-396,175972
20200813140240-279910743.236542,Podicipedidae,Podiceps auritus,Horned Grebe,HOGR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,505,174482
20200813140240-445492208.003998,Podicipedidae,Podiceps grisegena,Red-necked Grebe,RNGR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,465,174479
20200813140240-928086817.264557,Podicipedidae,Podiceps nigricollis,Black-necked Grebe,BNGR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,433,174485
20200813140240-870515525.341034,Podicipedidae,Podilymbus podiceps,Pied-billed Grebe,PBGR,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,410,174505
20200813140240-464043498.039246,Procellariidae,Ardenna grisea,Sooty Shearwater,SOSH,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174553
20200813140240-734410107.135773,Procellariidae,Ardenna pacifica,Wedge-tailed Shearwater,WTSH,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,305,174551
20200813140240-478175163.269043,Procellariidae,Ardenna tenuirostris,Short-tailed Shearwater,STTS,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174554
20200813140240-311040282.249451,Procellariidae,Bulweria bulwerii,Bulwer's Petrel,BUPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,281,554144
20200813140240-361044168.47229,Procellariidae,Bulweria fallax,Jouanin's Petrel,JOPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174617
20200813140240-762992918.491364,Procellariidae,Calonectris leucomelas,Streaked Shearwater,STRS,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,203449
20200813140240-4186272.62115479,Procellariidae,Fulmarus glacialis,Northern Fulmar,NOFU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,361,174536
20230602160847-414032697.677612,Procellariidae,Pseudobulweria rostrata,Tahiti Petrel,TAPE,,,Marine Bird,,
20200813140240-617426753.044128,Procellariidae,Pterodroma cervicalis,White-necked Petrel,WNPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,554394
20200813140240-990604341.030121,Procellariidae,Pterodroma cookii,Cook's Petrel,COPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,554395
20200813140240-946967422.962189,Procellariidae,Pterodroma externa,Juan Fernandez Petrel,JFPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174574
20200813140240-341230511.665344,Procellariidae,Pterodroma heraldica,Herald Petrel,HEPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174570
20200813140240-455297052.86026,Procellariidae,Pterodroma hypoleuca,Bonin Petrel,BOPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,385,174579
20200813140240-925527334.213257,Procellariidae,Pterodroma inexpectata,Mottled Petrel,MOPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174569
20200813140240-177262663.841248,Procellariidae,Pterodroma longirostris,Stejneger's Petrel,STPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174582
20200813140240-483192801.475525,Procellariidae,Pterodroma neglecta,Kermadec Petrel,KEPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174573
20200813140240-412441313.266754,Procellariidae,Pterodroma nigripennis,Black-winged Petrel,BWPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174580
20200813140240-798204660.415649,Procellariidae,Pterodroma sandwichensis,Hawaiian Petrel,HAPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",E,Marine Bird,345,202225
20200813140240-489268243.312836,Procellariidae,Pterodroma ultima,Murphy's Petrel,MUPE,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174592
20200813140240-430223345.756531,Procellariidae,Puffinus assimilis,Little Shearwater,LISH,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174559
20200813140240-955700814.723969,Procellariidae,Puffinus bulleri,Buller's Shearwater,BULS,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174552
20200813140240-408501565.45639,Procellariidae,Puffinus carneipes,Flesh-footed Shearwater,FFSH,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,N/A,174548
20230602160912-790480017.662048,Procellariidae,Puffinus lherminieri,Audubon's Shearwater,AUSH,,,Marine Bird,,
20200813140240-252809464.931488,Procellariidae,Puffinus nativitatis,Christmas Shearwater,CHSH,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Marine Bird,561,174565
20200813140240-6724953.65142822,Procellariidae,Puffinus newelli,Newell’s Shearwater,NESH,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",T,Marine Bird,297,
20200813140240-180337071.418762,Psittacidae,Psittacula krameri,Rose-ringed Parakeet,RRPA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,N/A,177650
20200813140240-500558614.730835,Psittacidae,Vini australis,Blue-crowned Lorikeet,BCLO,,,Forest Bird,N/A,
20200813140240-768767058.849335,Pteroclididae,Pterocles exustus,Chestnut-bellied Sandgrouse,CBSA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Open Country Bird,N/A,177050
20200813140240-740221023.55957,Pycnonotidae,Pycnonotus cafer,Red-vented Bulbul,RVBU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,520,178506
20200813140240-936056315.898895,Pycnonotidae,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Widespread/Urban Bird,520,178507
20200813140240-593477308.750153,Rallidae,Fulica alai,Hawaiian Coot,HACO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,696,554260
20200813140240-381148338.317871,Rallidae,Fulica americana,American Coot,AMCO,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,696,176292
20200813140240-913782417.7742,Rallidae,Gallinula galeata sandvicensis,Common Gallinule,COGA,"Evolution, Ecology, Conservation, and Management of Hawaiian Birds:  A Vanishing Avifauna",,Wetland Bird,685,176284
20200813140240-632621347.904205,Rallidae,Hypotaenidia philippensis,Buff-banded Rail,BBRA,,,Forest Bird,N/A,
20200813140240-544837415.218353,Rallidae,Porphyrio melanotus,Australasian Swamphen,AUSW,,,Forest Bird,N/A,
